10027120	³¯¬f¿«	85	73	24	71	85	95	72.17
10027126	Â²»¨§Ó	97	64	93	80	72	71	79.5
10027151	¸­«ä·ì	86	38	62	86	98	34	67.33
10027168	³¯¾ÇÀM	73	83	65	81	93	94	81.5
10027212	´¿¶²µY	87	91	66	98	67	26	72.5
10027214	´å®Ê·ì	92	63	74	44	66	93	72
10027241	³¯¸[·¢	69	88	70	76	85	91	79.83
10127102	³¯«Ø¤å	62	82	92	96	98	71	83.5
10127158	§õ¨ZÀB	100	93	72	89	90	25	78.17
10127228	§E«Â¾§	82	84	81	75	62	79	77.17
10127262	®}³¥	79	77	84	94	17	70	70.17
10127263	³¯Ãý¤å	64	65	79	72	66	76	70.33
10220107	³¯¤H»ñ	96	83	87	99	64	97	87.67
10220135	§õ©Ó¾§	74	95	65	63	94	54	74.17
10227101	¦¿°··ì	66	96	60	83	88	91	80.67
10227103	¥Ó®ËºÝ	64	21	78	63	71	93	65
10227104	´¿²Eµq	87	100	93	93	98	76	91.17
10227106	´¿©uªå	81	87	84	96	69	70	81.17
10227107	·¨ªÃ¾§	89	99	72	61	73	72	77.67
10227121	ªL¬F¦t	80	36	12	70	58	99	59.17
10227123	ªL©{«º	97	74	99	66	60	72	78
10227124	³¯¬R·_	85	89	67	87	87	82	82.83
10227129	°¨°êºÕ	70	70	86	68	79	54	71.17
10227130	©u¡@ª@	80	75	52	86	74	62	71.5
10227132	ÁéªQ¦ö	67	26	83	77	84	68	67.5
10227134	¦ó«~¸©	61	90	83	61	84	82	76.83
10227136	¨ô¤l§g	88	88	61	66	90	88	80.17
10227137	Â²§Ê¦t	67	78	79	100	60	73	76.17
10227138	¹Q©û¿²	81	67	100	76	85	83	82
10227141	´^±d­õ	88	70	66	66	86	76	75.33
10227146	§E°·»¨	57	67	98	63	84	93	77
10227147	¯Î»FÂE	88	88	74	79	70	93	82
10227148	ªL°a¦Ó	84	83	81	78	82	96	84
10227150	¥Õµq¤¸	96	94	71	78	95	87	86.83
10227151	³¯«T³ó	98	73	97	79	64	64	79.17
10227154	¦¶´­¥ß	86	96	96	91	83	74	87.67
10227201	»ñ©ú³Ç	99	82	71	79	82	62	79.17
10227202	®}»·¬P	89	100	94	42	90	97	85.33
10227205	Â²¹Å§»	81	86	67	90	89	86	83.17
10227206	¤ýÄQµ¾	92	41	59	18	60	51	53.5
10227207	³¯¬X¦w	81	100	79	82	93	68	83.83
10227209	¶À«Û¸Û	76	29	94	98	16	62	62.5
10227213	ªLªFÞ±	66	68	67	65	14	55	55.83
10227215	¯¬¡@»Ê	70	72	91	92	100	74	83.17
10227218	³¯«T¼Ý	74	61	85	62	70	90	73.67
10227219	§dñZ¥à	90	70	78	99	63	98	83
10227220	¶À«³¤É	83	85	81	90	75	74	81.33
10227221	¶ÀÄr¾b	94	90	98	90	62	83	86.17
10227223	³¯¤å¼_	18	80	83	67	74	100	70.33
10227224	®]®¶°ê	99	80	85	62	100	48	79
10227225	³¯¬R¤å	81	66	65	67	74	99	75.33
10227227	¤ýÝÂ²N	94	66	100	96	68	85	84.83
10227228	¶ÀÞmµ¾	74	63	80	78	91	69	75.83
10227229	®}º~¨^	63	53	67	98	85	93	76.5
10227230	°ª¯\²[	78	90	10	65	14	92	58.17
10227232	§õ¡@¦w	81	72	84	77	82	77	78.83
10227233	®}¼z¤å	96	83	69	90	72	89	83.17
10227235	­ÙÙy®p	74	73	64	68	75	89	73.83
10227237	´¿±Ò°a	66	81	97	27	80	67	69.67
10227240	ªL«iµ¾	99	69	86	23	91	85	75.5
10227246	³\´¼µú	91	86	93	53	70	24	69.5
10227254	¦¿¬Ó¿Ù	74	62	98	39	61	75	68.17
10327101	§E¤lºÍ	52	60	95	77	76	88	74.67
10327102	§õ®¶³Ç	65	62	69	75	63	15	58.17
10327103	§õ©yã¸	96	49	15	78	61	99	66.33
10327106	ªL«Å¦ö	83	89	30	87	75	93	76.17
10327108	©P·¡¶³	92	86	67	44	34	81	67.33
10327109	¤B±o®¦	83	62	67	95	67	72	74.33
10327110	¶À¥i¦|	84	87	68	68	52	76	72.5
10327111	§õ¨Ê®i	60	71	93	63	68	71	71
10327112	¦¶®m¥­	89	85	90	70	85	81	83.33
10327113	§õ¥@¥à	67	80	98	84	100	99	88
10327114	¶À¸t³Ç	80	75	43	77	74	92	73.5
10327115	³¯¥ßª@	60	65	79	74	92	95	77.5
10327116	ªL¤O¦t	69	85	78	79	35	95	73.5
10327117	±i®Ð»Í	83	65	84	61	96	98	81.17
10327119	¦V§Ó±s	62	71	89	13	100	66	66.83
10327120	¼B«ä·ì	74	85	49	52	98	81	73.17
10327121	©P©s¹F	63	95	79	86	74	66	77.17
10327123	§º²Ð¦t	74	83	49	75	100	91	78.67
10327124	§d¬f©Ó	82	61	75	88	79	80	77.5
10327125	¸­®xÞ³	19	53	86	74	82	77	65.17
10327127	³¢¡@ÀR	77	81	71	90	100	74	82.17
10327128	³¯«~·ç	57	80	81	92	93	71	79
10327129	³¯©v¸q	61	46	72	62	53	89	63.83
10327130	¬x³ºÞ³	70	85	94	65	90	64	78
10327131	¦ó¥ò©¨	80	65	92	67	67	92	77.17
10327133	ªLÖö´Å	85	92	69	81	91	93	85.17
10327134	°ª­§¯ø	68	91	96	86	64	87	82
10327135	ªL¹D¦t	97	74	64	62	65	93	75.83
10327136	³¯®õ§Ó	100	60	83	65	81	91	80
10327137	§d¨ÎÌÉ	100	61	90	84	71	70	79.33
10327138	§f¤å³Ç	75	70	70	81	61	82	73.17
10327139	³¯«ß¤¤	74	89	38	93	64	75	72.17
10327140	³¢´º±©	69	69	79	79	94	61	75.17
10327141	±i®Ë¹ç	69	93	69	80	100	99	85
10327142	Â²»Ê¦ö	61	51	61	63	20	85	56.83
10327144	¥î®a®¦	39	68	69	93	66	76	68.5
10327145	¹ù°¶µ¾	60	67	62	81	79	94	73.83
10327146	¾G¦t¨°	79	96	65	64	76	100	80
10327147	®ú¨Îºû	63	92	94	66	98	72	80.83
10327148	ªL¥@®x	86	99	96	64	96	98	89.83
10327149	§õ«G½Ë	77	17	78	84	79	96	71.83
10327151	¿à¬ü§±	73	81	77	76	87	81	79.17
10327154	¼ï«É»Ê	62	84	64	86	85	78	76.5
10327155	³s¼y	66	72	23	72	76	98	67.83
10327172	§d®L§Ó	18	97	49	62	62	89	62.83
10327201	°¨¥¿°a	68	90	73	89	71	85	79.33
10327202	¤ý¥ç¼e	88	81	13	85	23	69	59.83
10327203	ªL¤l°a	98	91	71	76	99	77	85.33
