 --- Hash Table --- by Linear probing
[0] 
[1] 
[2] 
[3]          3,   10527222,     ´^Ãh¼w,      89.33
[4]          3,   10527236,     ¶¾²Ð­è,      69.33
[5]          5,   10527114,     ³¢¬`§ø,      66
[6]          6,   10527130,     ³¯¤Ö¬v,      70
[7]          7,   10527138,     ¤ý´¶·s,      51.5
[8]          5,   10527141,     ±i²Eµq,      87.5
[9]          8,   10527145,     ·¨¨ÝÀM,      83
[10]          10,   10527235,     ·¨ªÃ°a,      69
[11]          11,   10520119,     ¶À³Õªl,      67.83
[12]          12,   10427113,     ÁÂ¤å³Í,      74.83
[13]          11,   10527149,     ³¯«~ºú,      81.83
[14] 
[15] 
[16]          16,   10520120,     §d¿«ªl,      70.17
[17]          16,   10527204,     ¶À¡@¶v,      74.33
[18]          16,   10527227,     ÃÓ²N®¦,      80.17
[19]          17,   10527234,     ¹ù«Û´¸,      83.67
[20]          16,   10527240,     ¹ù¸qºa,      78.67
[21]          17,   10527243,     Áé¨Î¨k,      86.67
[22]          22,   10527113,     §õºÖÀs,      79.67
[23]          22,   10527131,     ³¢®õ©ú,      64.17
[24]          23,   10527139,     ¶À¬L¤¯,      86.5
[25]          24,   10527233,     §õ©£¨|,      78.17
[26]          18,   10527246,     ¬ö¤èµx,      79
[27]          27,   10527208,     §d­õÞ³,      82.33
[28]          19,   10527249,     ¿à¾±¿K,      72.83
[29]          29,   10527108,     Â²ÄQ­õ,      71.67
[30]          16,   10527272,     ³¯¤¸±¶,      73.67
[31] 
[32] 
[33] 
[34] 
[35]          35,   10527129,     ³¯ªv¦|,      78
[36]          36,   10527104,     ¾G´¼Á¾,      84.83
[37]          37,   10527125,     ¿c«aÀM,      81
[38]          38,   10527123,     §f©u¿A,      78.17
[39]          39,   10527112,     ©P§ÓÂE,      75.17
[40]          36,   10527127,     §d®¶Þ³,      78.17
[41]          38,   10527132,     ªL¨È§u,      78.5
[42]          36,   10527140,     ªì¡@¤¸,      72.5
[43]          39,   10527144,     ©PÁÄÝG,      82.5
[44]          37,   10527152,     §d©Ó¯§,      79
[45]          36,   10527172,     ³¯«TÄ_,      73.67
[46]          45,   10527203,     ³¯¸ª»T,      80.5
[47]          47,   10527119,     ªL®Êºû,      82.83
[48]          39,   10527211,     ¬_§»¿Ù,      71.17
[49]          38,   10527213,     ³¢­õ¨¥,      81
